DATE,TIME,LATITUDE,NS,LONGITUDE,EW,NAME,MANUAL,LONG
06/06/2016,21:40:29,52.6671,N,1.06072,W,Session 20160606_213714/20160606/0_20160606_214029_000,NOISE,-1.06072
06/06/2016,21:39:06,52.6671,N,1.06072,W,Session 20160606_213714/20160606/NYLE_0_20160606_213906_000,NYLE,-1.06072
06/06/2016,21:40:06,52.6671,N,1.06072,W,Session 20160606_213714/20160606/NYLE_0_20160606_214006_000,NYLE,-1.06072
06/06/2016,21:37:30,52.6671,N,1.06072,W,Session 20160606_213714/20160606/No_ID_0_20160606_213730_000,NOISE,-1.06072
06/06/2016,21:37:55,52.6671,N,1.06072,W,Session 20160606_213714/20160606/No_ID_0_20160606_213755_000,NOISE,-1.06072
06/06/2016,21:39:52,52.6671,N,1.06072,W,Session 20160606_213714/20160606/No_ID_0_20160606_213952_000,NOISE,-1.06072
06/06/2016,21:40:03,52.6671,N,1.06072,W,Session 20160606_213714/20160606/No_ID_0_20160606_214003_000,NOISE,-1.06072
06/06/2016,23:26:05,52.66709,N,1.06253,W,Session 20160606_214102/20160606/BABA_0_20160606_232605_000,NOISE,-1.06253
06/06/2016,22:49:30,52.6658,N,1.07086,W,Session 20160606_214102/20160606/NYLE_0_20160606_224930_000,EPSE,-1.07086
06/06/2016,22:05:02,52.66474,N,1.06817,W,Session 20160606_214102/20160606/NYNO_0_20160606_220502_000,NYNO,-1.06817
06/06/2016,22:05:20,52.66478,N,1.06848,W,Session 20160606_214102/20160606/NYNO_0_20160606_220520_000,NYNO,-1.06848
06/06/2016,22:05:38,52.66478,N,1.06879,W,Session 20160606_214102/20160606/NYNO_0_20160606_220538_000,NYNO,-1.06879
06/06/2016,22:05:44,52.66478,N,1.06879,W,Session 20160606_214102/20160606/NYNO_0_20160606_220544_000,NYNO,-1.06879
06/06/2016,22:06:02,52.66481,N,1.0691,W,Session 20160606_214102/20160606/NYNO_0_20160606_220602_000,NOISE,-1.0691
06/06/2016,22:06:15,52.66488,N,1.06938,W,Session 20160606_214102/20160606/NYNO_0_20160606_220615_000,NYNO,-1.06938
06/06/2016,22:07:25,52.66512,N,1.07017,W,Session 20160606_214102/20160606/NYNO_0_20160606_220725_000,NYNO,-1.07017
06/06/2016,22:10:04,52.66383,N,1.07111,W,Session 20160606_214102/20160606/NYNO_0_20160606_221004_000,NYNO,-1.07111
06/06/2016,22:44:13,52.66506,N,1.07239,W,Session 20160606_214102/20160606/NYNO_0_20160606_224413_000,NYNO,-1.07239
06/06/2016,21:41:26,52.66703,N,1.06104,W,Session 20160606_214102/20160606/No_ID_0_20160606_214126_000,NOISE,-1.06104
06/06/2016,21:42:17,52.66706,N,1.06196,W,Session 20160606_214102/20160606/No_ID_0_20160606_214217_000,NOISE,-1.06196
06/06/2016,22:06:10,52.66484,N,1.06925,W,Session 20160606_214102/20160606/No_ID_0_20160606_220610_000,NOISE,-1.06925
06/06/2016,22:12:05,52.66249,N,1.07185,W,Session 20160606_214102/20160606/No_ID_0_20160606_221205_000,NOISE,-1.07185
06/06/2016,22:23:53,52.6596,N,1.07522,W,Session 20160606_214102/20160606/No_ID_0_20160606_222353_000,NOISE,-1.07522
06/06/2016,22:56:35,52.66833,N,1.07122,W,Session 20160606_214102/20160606/No_ID_0_20160606_225635_000,NoID ,-1.07122
06/06/2016,23:00:11,52.66985,N,1.07179,W,Session 20160606_214102/20160606/No_ID_0_20160606_230011_000,NOISE,-1.07179
06/06/2016,23:01:39,52.67034,N,1.07092,W,Session 20160606_214102/20160606/No_ID_0_20160606_230139_000,NOISE,-1.07092
06/06/2016,23:04:01,52.67085,N,1.0699,W,Session 20160606_214102/20160606/No_ID_0_20160606_230401_000,NOISE,-1.0699
