FOLDER,IN FILE,CHANNEL,OFFSET,DURATION,OUT FILE,DATE,TIME,HOUR,DATE-12,TIME-12, HOUR-12,AUTO ID,PULSES,MATCHING,MARGIN,ALTERNATES,N,Fc,Sc,Dur,Fmax,Fmin,Fmean,TBC,Fk,Tk,S1,Tc,Qual,FILES,MANUAL ID
SITE8,UNIT11943_20170408_195302.wac,0,1566.724,2.075,UNIT11943_0_20170408_201908_724,08/04/2017,20:19:08,20,08/04/2017,08:19:08,8,Noise,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Noise
SITE8,UNIT11943_20170408_202304.wac,0,0,2.099,UNIT11943_0_20170408_202304_000,08/04/2017,20:23:04,20,08/04/2017,08:23:04,8,Noise,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Noise
SITE8,UNIT11943_20170408_202304.wac,0,99.467,2.032,UNIT11943_0_20170408_202443_467,08/04/2017,20:24:43,20,08/04/2017,08:24:43,8,Noise,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,PIPI
SITE8,UNIT11943_20170408_202304.wac,0,105.777,2.023,UNIT11943_0_20170408_202449_777,08/04/2017,20:24:49,20,08/04/2017,08:24:49,8,Noise,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,PIPI
SITE8,UNIT11943_20170408_202304.wac,0,141.966,2.033,UNIT11943_0_20170408_202525_966,08/04/2017,20:25:25,20,08/04/2017,08:25:25,8,Noise,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,PIPI
SITE8,UNIT11943_20170408_202304.wac,0,209.519,2.08,UNIT11943_0_20170408_202633_519,08/04/2017,20:26:33,20,08/04/2017,08:26:33,8,Noise,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,PIPI
SITE8,UNIT11943_20170408_202304.wac,0,252.637,2.062,UNIT11943_0_20170408_202716_637,08/04/2017,20:27:16,20,08/04/2017,08:27:16,8,Noise,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,PIPI
SITE8,UNIT11943_20170408_202304.wac,0,275.863,2.037,UNIT11943_0_20170408_202739_863,08/04/2017,20:27:39,20,08/04/2017,08:27:39,8,Noise,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,PIPI
SITE8,UNIT11943_20170408_202304.wac,0,386.965,2.734,UNIT11943_0_20170408_202930_965,08/04/2017,20:29:30,20,08/04/2017,08:29:30,8,Noise,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,PIPI
SITE8,UNIT11943_20170408_202304.wac,0,395.144,2.055,UNIT11943_0_20170408_202939_144,08/04/2017,20:29:39,20,08/04/2017,08:29:39,8,Noise,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,PIPI
SITE8,UNIT11943_20170408_205304.wac,0,0,2.099,UNIT11943_0_20170408_205304_000,08/04/2017,20:53:04,20,08/04/2017,08:53:04,8,Noise,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Noise
SITE8,UNIT11943_20170408_205304.wac,0,989.907,2.093,UNIT11943_0_20170408_210933_907,08/04/2017,21:09:33,21,08/04/2017,09:09:33,9,Noise,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Plecotus  sp.
SITE8,UNIT11943_20170408_205304.wac,0,1679.166,3.933,UNIT11943_0_20170408_212103_166,08/04/2017,21:21:03,21,08/04/2017,09:21:03,9,Noise,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,PIPI
SITE8,UNIT11943_20170408_205304.wac,0,1740.595,2.805,UNIT11943_0_20170408_212204_595,08/04/2017,21:22:04,21,08/04/2017,09:22:04,9,Noise,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,PIPI
SITE8,UNIT11943_20170408_212304.wac,0,0,2.099,UNIT11943_0_20170408_212304_000,08/04/2017,21:23:04,21,08/04/2017,09:23:04,9,Noise,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Noise
SITE8,UNIT11943_20170408_212304.wac,0,60.511,2.888,UNIT11943_0_20170408_212404_511,08/04/2017,21:24:04,21,08/04/2017,09:24:04,9,Noise,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,PIPI
SITE8,UNIT11943_20170408_212304.wac,0,98.865,0.934,UNIT11943_0_20170408_212442_865,08/04/2017,21:24:42,21,08/04/2017,09:24:42,9,Noise,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,PIPI
SITE8,UNIT11943_20170408_212304.wac,0,921.498,2.401,UNIT11943_0_20170408_213825_498,08/04/2017,21:38:25,21,08/04/2017,09:38:25,9,Noise,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,PIPI
